#Curve       0,   269  points
0         #x        y  type     NaN
1     -430.55527   -6.95951     i     NaN
2     -425.89541   -4.33806     i     NaN
3     -420.58047   -2.89142     i     NaN
4     -415.28252   -1.23077     i     NaN
5     -407.72155    1.97571     i     NaN
6     -400.82272   -3.64501     i     NaN
7     -397.15676   -4.87449     i     NaN
8     -391.92974   -3.33198     i     NaN
9     -386.70426    3.03145     i     NaN
10    -382.77156    2.93117     i     NaN
11    -380.07240   -2.90688     i     NaN
12    -374.64009   -3.46338     i     NaN
13    -369.20508   -3.13876     i     NaN
14    -365.00423   -2.53846     i     NaN
15    -356.83242    4.25911     i     NaN
16    -344.24075    2.50607     i     NaN
17    -340.76141   -2.05668     i     NaN
18    -334.32382   -1.58057     i     NaN
19    -329.02316   -2.11336     i     NaN
20    -323.75780   -3.41700     i     NaN
21    -318.32521   -3.88075     i     NaN
22    -313.38262   -3.03914     i     NaN
23    -310.72813    3.44130     i     NaN
24    -306.68919    4.94332     i     NaN
25    -304.75673    2.24291     i     NaN
26    -303.25655   -3.35324     i     NaN
27    -301.54078   -7.68219     i     NaN
28    -297.58795   -7.41296     i     NaN
29    -294.85690   -2.82186     i     NaN
30    -289.15950    2.53441     i     NaN
31    -283.72563    2.48804     i     NaN
32    -278.29081    2.75083     i     NaN
33    -272.58301    2.53441     i     NaN
34    -267.42420    2.28708     i     NaN
35    -261.99103    2.00883     i     NaN
36    -256.50243    1.91093     i     NaN
37    -253.34648    1.85425     i     NaN
38    -248.66595   -2.22672     i     NaN
39    -243.23198   -2.24218     i     NaN
40    -237.79858   -2.44314     i     NaN
41    -232.61059   -2.12470     i     NaN
42    -226.04132    2.53441     i     NaN
43    -220.49227    2.87449     i     NaN
44    -215.05839    2.82812     i     NaN
45    -209.62116    3.87928     i     NaN
46    -204.18337    5.11594     i     NaN
47    -198.75053    4.72948     i     NaN
48    -193.31420    5.48693     i     NaN
49    -187.92076    5.68016     i     NaN
50    -182.44064    7.29555     i     NaN
51    -177.00828    6.75451     i     NaN
52    -171.57171    7.58925     i     NaN
53    -166.13495    8.48583     i     NaN
54    -160.69824    9.36695     i     NaN
55    -155.26531    9.01141     i     NaN
56    -149.83423    8.05300     i     NaN
57    -144.40078    7.86750     i     NaN
58    -138.96360    8.90320     i     NaN
59    -133.52207   11.36106     i     NaN
60    -128.07850   14.48362     i     NaN
61    -122.43823   14.62146     i     NaN
62    -117.54385   17.30178     i     NaN
63    -112.05610   19.96356     i     NaN
64    -107.54862   23.90850     i     NaN
65    -102.84563   27.17139     i     NaN
66     -98.62563   34.03441     i     NaN
67     -97.86661   39.92632     i     NaN
68     -96.12416   44.32186     i     NaN
69     -95.12485   48.02024     i     NaN
70     -94.86148   53.37179     i     NaN
71     -93.11331   59.63968     i     NaN
72     -92.43713   67.81450     i     NaN
73     -91.86730   63.23887     i     NaN
74     -90.85052   72.64777     i     NaN
75     -90.12339   81.57490     i     NaN
76     -90.09930   75.99190     i     NaN
77     -87.94035   87.35061     i     NaN
78     -87.20787   95.74799     i     NaN
79     -86.84305   90.78543     i     NaN
80     -85.21279  109.89334     i     NaN
81     -85.08154  101.41296     i     NaN
82     -84.11888  124.19184     i     NaN
83     -82.48855  141.62753     i     NaN
84     -82.02499  137.88664     i     NaN
85     -81.40036  147.46559     i     NaN
86     -80.48707  149.95951     i     NaN
87     -77.22755  165.82186     i     NaN
88     -77.21621  169.52912     i     NaN
89     -74.49185  178.14699     i     NaN
90     -72.47009  180.68452     i     NaN
91     -69.51582  183.71255     i     NaN
92     -69.23792  193.81450     i     NaN
93     -68.76467  187.02834     i     NaN
94     -67.71288  207.88664     i     NaN
95     -67.68073  218.40081     i     NaN
96     -65.78133  222.72138     i     NaN
97     -60.48573  228.85830     i     NaN
98     -60.35434  235.10961     i     NaN
99     -58.39463  239.57085     i     NaN
100    -58.10947  249.60324     i     NaN
101    -57.72348  243.65182     i     NaN
102    -56.24793  273.85101     i     NaN
103    -56.18021  263.68826     i     NaN
104    -54.65776  276.91174     i     NaN
105    -54.39787  281.12874     i     NaN
106    -53.77831  287.57085     i     NaN
107    -53.13019  291.81107     i     NaN
108    -52.13295  294.83401     i     NaN
109    -51.62565  299.18067     i     NaN
110    -46.17312  305.23482     i     NaN
111    -43.65978  319.40486     i     NaN
112    -43.39120  326.46154     i     NaN
113    -41.08136  331.78138     i     NaN
114    -39.90823  334.62348     i     NaN
115    -39.64554  339.75304     i     NaN
116    -38.02232  345.54858     i     NaN
117    -36.42394  350.56091     i     NaN
118    -35.47851  356.21862     i     NaN
119    -30.59093  348.04723     i     NaN
120    -30.25523  359.10256     i     NaN
121    -28.98127  353.89474     i     NaN
122    -27.98200  357.57895     i     NaN
123    -27.60071  361.10729     i     NaN
124    -26.89667  375.94332     i     NaN
125    -25.43689  382.13846     i     NaN
126    -24.18901  386.34671     i     NaN
127    -18.74531  379.41852     i     NaN
